"Country Name","Country Code","Unit Name","Unit Code",Time Period,"Brent Crude  (POILBRE)","Coal index  (PCOAL)","Coal, Australia (PCOALAU)","Coal, South Africa  (PCOALSA)","Dubai Crude  (POILDUB)","Natural gas, EU (PNGASEU)","Rare Earth Elements (PREODOM)","WTI Crude  (POILWTI)",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",2003,"14.5888622049047","9.60371503692083","3.30466027874565","15.6273027264281","12.7761024888306","30.753541957182",,"19.2391140534469",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",2004,"32.8518849932737","91.551471370854","102.938475665748","81.8229047609152","25.9171426854247","7.70647237444338",,"33.0485290838911",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",2005,"43.0257040190907","-13.2614818364547","-10.4241265980397","-15.9671148390504","46.2053337693417","57.5233022636485",,"36.328408061121",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",2006,"19.9709712795215","6.8953578438771","3.76740965124628","10.0748408098736","24.6335883967655","38.8419273034658",,"17.0087884340823",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",2007,"10.7432213060392","27.953223965162","32.9189690459895","23.1948969907223","11.4672488774883","-0.852359208523606",,"9.47398621440916",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",2008,"33.9661292159081","95.3686674809481","96.9259171588786","93.7586805307269","36.2186065857425","61.3447958243783",,"37.6283852703095",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",2009,"-36.7297302435623","-45.6550220976991","-44.8213518912553","-46.5310140083038","-34.4747415382831","-32.5975261655566",,"-38.0122072509213",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",2010,"29.5967004447623","39.5647141988545","37.3414844285008","41.9755035908632","27.7629982253218","-7.14285714285715",,"28.6960554804654",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",2011,"39.761192340872","25.293577249098","23.9089413536789","26.7460193463334","35.0469902350334","28.8740245261985",,"19.683493667306",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",2012,"0.423569607740037","-20.8820107898134","-21.7305624277222","-20.0118293101148","3.30835014976255","13.0622837370242",,"-0.928106802323877",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",2013,"-2.7228833809948","-12.3519401841681","-11.1479431057131","-13.5600973697836","-3.20215222380625","-6.60777630938305",,"4.00188301481782",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",2014,"-8.82537389487676","-13.0301566280566","-15.9818704006746","-9.98559011096655","-8.60796575693382","-6.48692932151635","-13.632666414741","-4.93154168290795",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",2015,"-46.6279385270936","-19.159205614343","-17.214583526154","-21.031384788851","-47.253283066954","-30.1847722204524","-3.2194987705835","-47.5884376627042",
